state_fips_code,state_name,forecast_date,prediction_date,new_confirmed,cumulative_confirmed,new_deaths,cumulative_deaths,hospitalized_patients,intensive_care_patients,ventilator_patients,recovered,new_confirmed_ground_truth,cumulative_confirmed_ground_truth,new_deaths_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,intensive_care_patients_ground_truth,ventilator_patients_ground_truth,recovered_documented_ground_truth
01,Alabama,2020-08-24,2020-05-27,,,,,,,,,382.0,16032.0,3.0,583.0,607.0,,,7951.0
40,Oklahoma,2020-08-24,2020-05-27,,,,,,,,,91.0,6229.0,4.0,322.0,156.0,74.0,,5135.0
35,New Mexico,2020-08-24,2020-05-27,,,,,,,,,122.0,7252.0,4.0,329.0,211.0,,,2564.0
46,South Dakota,2020-08-24,2020-05-27,,,,,,,,,57.0,4710.0,4.0,54.0,101.0,,,3619.0
21,Kentucky,2020-08-24,2020-05-27,,,,,,,,,126.0,9077.0,6.0,400.0,489.0,78.0,,3124.0
31,Nebraska,2020-08-24,2020-05-27,,,,,,,,,365.0,12984.0,6.0,153.0,,,,
33,New Hampshire,2020-08-24,2020-05-27,,,,,,,,,55.0,4286.0,9.0,223.0,91.0,,,2550.0
10,Delaware,2020-08-24,2020-05-27,,,,,,,,,30.0,9096.0,9.0,344.0,196.0,,,4909.0
47,Tennessee,2020-08-24,2020-05-27,,,,,,,,,390.0,20946.0,10.0,349.0,501.0,,,13916.0
45,South Carolina,2020-08-24,2020-05-27,,,,,,,,,207.0,10623.0,20.0,466.0,398.0,,,6102.0
55,Wisconsin,2020-08-24,2020-05-27,,,,,,,,,599.0,16462.0,22.0,539.0,748.0,139.0,,9846.0
09,Connecticut,2020-08-24,2020-05-27,,,,,,,,,-15.0,41288.0,34.0,3803.0,684.0,,,7127.0
27,Minnesota,2020-08-24,2020-05-27,,,,,,,,,504.0,22464.0,34.0,942.0,598.0,260.0,,16314.0
13,Georgia,2020-08-24,2020-05-27,,,,,,,,,647.0,42713.0,36.0,1904.0,907.0,,,
08,Colorado,2020-08-24,2020-05-27,,,,,,,,,202.0,24754.0,40.0,1392.0,484.0,,,3741.0
48,Texas,2020-08-24,2020-05-27,,,,,,,,,1312.0,58542.0,40.0,1680.0,1645.0,,,37626.0
12,Florida,2020-08-24,2020-05-27,,,,,,,,,379.0,52634.0,60.0,2319.0,,,,
06,California,2020-08-24,2020-05-27,,,,,,,,,1579.0,101071.0,76.0,3894.0,4544.0,1407.0,,
